Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0240:GACT,CHTR:CM02:1455:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-27-16:27:19,24.0508,98.2197,75.518,16.0239,1.92181,28.4518
2019-03-27-16:27:20,24.0508,98.2197,75.518,16.0239,1.92181,28.4518
2019-03-27-16:27:21,24.0508,98.2197,75.518,16.0239,1.92181,28.4518
2019-03-27-16:27:22,24.0508,98.2197,75.518,16.0239,1.92181,28.4518
2019-03-27-16:27:23,24.0508,98.4079,75.6754,16.0239,1.92181,28.4518
2019-03-27-16:27:24,24.0508,98.1864,75.4885,16.0239,1.92181,28.4518
2019-03-27-16:27:25,24.0508,98.1864,75.4885,16.0239,1.92181,28.4518
2019-03-27-16:27:26,24.0508,98.1864,75.4885,16.0115,1.92181,28.4518
2019-03-27-16:27:27,24.0508,98.1864,75.647,16.0115,1.92181,28.4518
2019-03-27-16:27:28,24.0508,98.367,75.647,16.0115,1.92181,28.4518
2019-03-27-16:27:29,24.0508,98.1632,75.647,16.0115,1.92181,28.4518
2019-03-27-16:27:30,24.0508,98.3658,75.647,16.0115,1.92181,28.4518
2019-03-27-16:27:31,24.0508,98.2203,75.647,16.0115,1.92181,28.4518
2019-03-27-16:27:32,24.0508,98.2203,75.5013,16.0115,1.92181,28.4518
2019-03-27-16:27:33,24.0508,98.2203,75.5013,16.0115,1.92181,28.4518
2019-03-27-16:27:34,24.0508,98.2203,75.5013,16.0115,1.92181,28.4518
2019-03-27-16:27:35,24.0508,98.2203,75.5013,16.0115,1.92181,28.4518
2019-03-27-16:27:36,24.0508,98.2203,75.5013,16.0115,1.92181,28.4518
2019-03-27-16:27:37,24.0508,98.2203,75.5013,16.0115,1.92181,28.4518
2019-03-27-16:27:38,24.0508,98.2203,75.6386,16.0115,1.92181,28.4518
2019-03-27-16:27:39,24.0508,98.2203,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:40,24.0508,98.2203,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:41,24.0508,98.2203,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:42,24.0508,98.0878,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:43,24.0508,98.253,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:44,24.0508,98.253,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:45,24.0508,98.253,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:46,24.0508,98.253,75.4868,16.0014,1.92181,28.4518
2019-03-27-16:27:47,24.0508,98.253,75.6422,16.0014,1.92181,28.4518
2019-03-27-16:27:48,24.0508,98.253,75.6422,15.9896,1.92181,28.4518
2019-03-27-16:27:49,24.0508,98.253,75.4827,15.9896,1.92181,28.4518
2019-03-27-16:27:50,24.0508,98.253,75.6255,15.9896,1.92181,28.4518
2019-03-27-16:27:51,24.0508,98.0888,75.4563,15.9896,1.92181,28.4518
2019-03-27-16:27:52,24.0508,98.0888,75.6429,15.9896,1.92181,28.4518
2019-03-27-16:27:53,24.0508,98.0888,75.4514,15.9896,1.92181,28.4518
2019-03-27-16:27:54,24.0508,98.0888,75.6205,15.9896,1.92181,28.4518
2019-03-27-16:27:55,24.0508,98.0888,75.6205,15.9896,1.92181,28.4518
2019-03-27-16:27:56,24.0508,98.0888,75.4608,15.9896,1.92181,28.4518
2019-03-27-16:27:57,24.0508,98.0888,75.8023,15.9896,1.92181,28.4518
2019-03-27-16:27:58,24.0508,98.0888,75.5492,15.9896,1.92181,28.4518
2019-03-27-16:27:59,24.0508,98.19,75.663,15.9896,1.92181,28.4518
2019-03-27-16:28:00,24.0508,97.9927,75.4754,15.9896,1.92181,28.4518
2019-03-27-16:28:01,24.0508,98.1786,75.4754,15.9896,1.92181,28.4518
2019-03-27-16:28:02,24.0508,97.8838,75.6963,15.9896,1.92181,28.4518
2019-03-27-16:28:03,24.0508,98.2556,75.5521,15.9896,1.92181,28.4518
2019-03-27-16:28:04,24.0508,98.1044,75.6961,15.9896,1.92181,28.4518
2019-03-27-16:28:05,24.0508,98.2749,75.488,15.9795,1.92181,28.4518
2019-03-27-16:28:06,24.0508,98.1299,75.488,15.9795,1.92181,28.4518
2019-03-27-16:28:07,24.0508,98.1299,75.7104,15.9795,1.92181,28.4518
2019-03-27-16:28:08,23.9141,98.1299,75.3078,15.9795,1.92181,28.4518
2019-03-27-16:28:09,23.9141,98.0138,75.6429,15.9795,1.92181,28.4518
2019-03-27-16:28:10,23.9141,98.0138,75.6429,15.9795,1.92181,28.4518
2019-03-27-16:28:11,23.9141,98.0138,75.522,15.9795,1.92181,28.4518
