Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,CHTR:CM02:1155:HV:POWER
2019-03-27-11:02:51,24.0508,97.6551,75.0615,5.92058
2019-03-27-11:02:52,24.0508,97.6551,75.2086,5.92058
2019-03-27-11:02:53,24.0508,97.3557,75.0672,5.92058
2019-03-27-11:02:54,24.0508,97.7696,75.2535,5.92058
2019-03-27-11:02:55,24.0508,97.7696,75.2535,5.92058
2019-03-27-11:02:56,24.0508,97.2907,75.0694,5.92058
2019-03-27-11:02:57,24.0508,97.6387,75.0694,5.92058
2019-03-27-11:02:58,24.0508,97.289,75.0694,5.92058
2019-03-27-11:02:59,24.0508,97.8104,75.2627,5.92058
2019-03-27-11:03:00,24.0508,97.6432,75.0437,5.92058
2019-03-27-11:03:01,24.0508,97.4047,75.0437,5.92058
2019-03-27-11:03:02,24.0508,97.701,75.0437,5.92058
2019-03-27-11:03:03,24.0508,97.2857,75.0437,5.92058
2019-03-27-11:03:04,24.0508,97.4616,75.1972,5.92058
2019-03-27-11:03:05,24.0508,97.3034,75.1972,5.92058
2019-03-27-11:03:06,24.0508,97.7578,75.1972,5.92058
2019-03-27-11:03:07,24.0508,97.3566,74.9874,5.92058
2019-03-27-11:03:08,24.0508,97.5026,74.9874,5.92058
2019-03-27-11:03:09,24.0508,97.336,75.1698,5.92058
2019-03-27-11:03:10,24.0508,97.7103,75.1698,5.92058
2019-03-27-11:03:11,24.0508,97.5416,75.1698,5.92058
2019-03-27-11:03:12,24.0508,97.6487,75.1698,5.92058
2019-03-27-11:03:13,24.0508,97.6487,75.0672,5.92058
2019-03-27-11:03:14,24.0508,97.3953,75.0672,5.92058
2019-03-27-11:03:15,24.0508,97.3953,75.1755,5.92058
2019-03-27-11:03:16,24.0508,97.2872,75.1755,5.92058
2019-03-27-11:03:17,24.0508,97.477,75.1755,5.92058
2019-03-27-11:03:18,24.0508,97.2688,75.1755,5.92058
2019-03-27-11:03:19,24.0508,97.8264,75.1755,5.92058
2019-03-27-11:03:20,24.0508,97.2726,75.0397,5.92058
2019-03-27-11:03:21,24.0508,97.5749,75.0397,5.92058
2019-03-27-11:03:22,24.0508,97.3679,75.1516,5.92058
2019-03-27-11:03:23,24.0508,97.5981,75.1516,5.92058
2019-03-27-11:03:24,24.0508,97.3599,75.0229,5.92058
