time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:09:40,1551640180.57,2.13125,96.3656,17.3984,74.4258,9.95721
2019-03-03 14:09:41,1551640181.56,2.13125,96.6292,17.3984,74.4258,9.95721
2019-03-03 14:09:42,1551640182.56,2.13125,96.3939,17.3984,74.4258,9.95721
2019-03-03 14:09:43,1551640183.56,2.13125,96.3939,17.3984,74.5693,9.95721
2019-03-03 14:09:44,1551640184.57,2.13125,96.3939,17.3984,74.4566,9.95721
2019-03-03 14:09:46,1551640186.56,2.13125,96.5102,17.3984,74.343,9.95721
2019-03-03 14:09:47,1551640187.56,2.13125,96.3698,17.3984,74.343,9.95721
2019-03-03 14:09:49,1551640189.56,2.13125,96.6637,17.3984,74.5025,9.95721
2019-03-03 14:09:50,1551640190.57,2.13125,96.454,17.3984,74.5025,9.95721
2019-03-03 14:09:51,1551640191.56,2.13125,96.454,17.3984,74.3579,9.95721
2019-03-03 14:09:53,1551640193.56,2.13125,96.6974,17.3984,74.3579,9.95721
2019-03-03 14:09:54,1551640194.57,2.13125,96.4095,17.3984,74.5282,9.95721
2019-03-03 14:09:55,1551640195.56,2.13125,96.4095,17.3984,74.3507,9.95721
2019-03-03 14:09:56,1551640196.57,2.13125,96.4095,17.3984,74.5361,9.95721
2019-03-03 14:09:57,1551640197.56,2.13125,96.4095,17.3984,74.434,9.95721
2019-03-03 14:09:58,1551640198.56,2.13125,96.7504,17.3984,74.434,9.95721
2019-03-03 14:09:59,1551640199.57,2.13125,96.379,17.3984,74.549,9.95721
2019-03-03 14:10:00,1551640200.57,2.13125,96.492,17.3984,74.417,9.95721
2019-03-03 14:10:02,1551640202.57,2.13125,96.6378,17.3984,74.417,9.95721
2019-03-03 14:10:04,1551640204.57,2.13125,96.3966,17.3984,74.417,9.95721
2019-03-03 14:10:05,1551640205.57,2.13125,96.8,17.3984,74.417,9.95721
2019-03-03 14:10:06,1551640206.57,2.13125,96.4739,17.3984,74.417,9.95721
