time,Unix time,CFICM0312,CPV:CM03:3001:JT:POS_RBV,CHTR:CM03:1155:HV:POWER,CLL:CM03:2601:US:LVL,CLL:CM03:2301:DS:LVL
2019-02-23 08:01:00,1550926860.56,4.15625,47.4688,14.9379,68.9658,90.0547
2019-02-23 08:01:00,1550926860.87,4.90625,47.4688,14.9379,68.9658,90.0547
2019-02-23 08:01:01,1550926861.56,4.90625,47.4688,14.9379,69.0974,89.9444
2019-02-23 08:01:01,1550926861.88,4.1875,47.4688,14.9379,69.0974,89.9444
2019-02-23 08:01:02,1550926862.56,4.1875,47.4688,14.9379,68.991,90.0475
2019-02-23 08:01:02,1550926862.88,3.96875,47.4688,14.9379,68.991,90.0475
2019-02-23 08:01:03,1550926863.56,3.96875,47.4688,14.9379,68.991,89.9443
2019-02-23 08:01:03,1550926863.89,4.875,47.4688,14.9379,68.991,89.9443
2019-02-23 08:01:04,1550926864.56,4.875,47.4688,14.9379,68.991,90.0866
2019-02-23 08:01:04,1550926864.89,4.53125,47.4688,14.9379,68.991,90.0866
2019-02-23 08:01:05,1550926865.89,3.95312,47.4688,14.9379,68.991,90.0866
2019-02-23 08:01:06,1550926866.56,3.95312,47.4688,14.9379,68.991,89.9316
2019-02-23 08:01:06,1550926866.90,4.625,47.4688,14.9379,68.991,89.9316
2019-02-23 08:01:07,1550926867.90,4.8125,47.4688,14.9379,68.991,89.9316
2019-02-23 08:01:08,1550926868.90,4.0625,47.4688,14.9379,68.991,89.9316
2019-02-23 08:01:09,1550926869.56,4.0625,47.4688,14.9379,69.1537,89.9316
2019-02-23 08:01:09,1550926869.90,4.375,47.4688,14.9379,69.1537,89.9316
2019-02-23 08:01:10,1550926870.91,4.96875,47.4688,14.9379,69.1537,89.9316
2019-02-23 08:01:11,1550926871.56,4.96875,47.4688,14.9379,69.1537,90.1187
2019-02-23 08:01:11,1550926871.91,4.3125,47.4688,14.9379,69.1537,90.1187
2019-02-23 08:01:12,1550926872.56,4.3125,47.4688,14.9379,68.9355,89.9496
2019-02-23 08:01:12,1550926872.91,4.1875,47.4688,14.9379,68.9355,89.9496
2019-02-23 08:01:13,1550926873.56,4.1875,47.4688,14.9379,69.0449,89.9496
2019-02-23 08:01:13,1550926873.91,4.96875,47.4688,14.9379,69.0449,89.9496
2019-02-23 08:01:14,1550926874.56,4.96875,47.4688,14.9379,68.9447,89.9496
2019-02-23 08:01:14,1550926874.91,4.53125,47.4688,14.9379,68.9447,89.9496
2019-02-23 08:01:15,1550926875.56,4.53125,47.4688,14.9379,69.0695,89.9496
2019-02-23 08:01:15,1550926875.92,4.0625,47.4688,14.9379,69.0695,89.9496
2019-02-23 08:01:16,1550926876.92,5,47.4688,14.9379,69.0695,89.9496
2019-02-23 08:01:17,1550926877.56,5,48.543,14.9379,68.952,90.0566
2019-02-23 08:01:17,1550926877.93,5.125,48.543,14.9379,68.952,90.0566
2019-02-23 08:01:18,1550926878.56,5.125,48.543,14.9379,68.952,89.8679
2019-02-23 08:01:18,1550926878.93,4.375,48.543,14.9379,68.952,89.8679
2019-02-23 08:01:19,1550926879.56,4.375,48.543,14.9379,68.952,90.0572
2019-02-23 08:01:19,1550926879.93,4.84375,48.543,14.9379,68.952,90.0572
2019-02-23 08:01:20,1550926880.56,4.84375,48.543,14.9379,69.1768,89.9524
2019-02-23 08:01:20,1550926880.94,5.34375,48.543,14.9379,69.1768,89.9524
2019-02-23 08:01:21,1550926881.56,5.34375,48.543,14.9379,69.1768,90.2111
2019-02-23 08:01:21,1550926881.94,4.59375,48.543,14.9379,69.1768,90.2111
2019-02-23 08:01:22,1550926882.56,4.59375,48.543,14.9379,68.9903,90.0369
2019-02-23 08:01:23,1550926883.56,4.59375,48.543,14.9379,68.9903,89.9109
2019-02-23 08:01:23,1550926883.94,5.375,48.543,14.9379,68.9903,89.9109
2019-02-23 08:01:24,1550926884.56,5.375,48.543,14.9379,69.2229,89.9109
