time,Unix time,CPT:CM02:2302:DS:PRESS,CHTR:CM02:1455:HV:POWER,CLL:CM02:2601:US:LVL,CLL:CM02:2301:DS:LVL,CTE:CM02:1420:DH:TEMP,CTE:CM02:1418:UH:TEMP,ACCL:L1B:0240:CPLRTEMP1,ACCL:L1B:0240:CPLRTEMP2,CPV:CM02:3001:JT:POS_RBV
2019-03-17 12:07:59,1552838879.56,29.5314,1.91554,72.5646,94.6855,5.39695,6.23439,72.0197,73.5576,35.7305
2019-03-17 12:08:00,1552838880.56,29.5314,1.91554,72.5646,94.483,5.39695,6.23439,72.0197,73.5576,35.7305
2019-03-17 12:08:01,1552838881.56,29.5314,1.91554,72.7078,94.7029,5.39695,6.23439,72.0197,73.5576,35.7305
2019-03-17 12:08:02,1552838882.56,29.5314,1.91554,72.5146,94.497,5.39695,6.23439,72.0197,73.5576,35.7305
2019-03-17 12:08:03,1552838883.16,29.5314,1.91554,72.5146,94.497,5.39695,6.23439,72.1262,73.5576,35.7305
2019-03-17 12:08:05,1552838885.57,29.5314,1.91554,72.5146,94.497,5.39695,6.23439,72.1262,73.5576,37.3555
2019-03-17 12:08:06,1552838886.56,29.5314,1.91554,72.5146,94.7354,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:07,1552838887.56,29.5314,1.91554,72.6404,94.4971,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:09,1552838889.56,29.5314,1.91554,72.5255,94.6202,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:10,1552838890.56,29.5314,1.91554,72.5255,94.4909,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:11,1552838891.56,29.5314,1.91554,72.7691,94.7566,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:12,1552838892.56,29.5314,1.91554,72.4982,94.5076,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:15,1552838895.56,29.5314,1.91554,72.4982,94.6815,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:16,1552838896.56,29.5314,1.91554,72.8522,94.6815,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:17,1552838897.56,29.5314,1.91554,72.4825,94.5174,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:18,1552838898.56,29.5314,1.91554,72.6826,94.7075,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:19,1552838899.56,29.5314,1.91554,72.6826,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:20,1552838900.56,29.5314,1.91554,72.5062,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:21,1552838901.56,29.5314,1.91554,72.8701,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:22,1552838902.56,29.5314,1.91554,72.5911,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:23,1552838903.56,29.5314,1.91554,72.7292,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:24,1552838904.56,29.5314,1.91554,72.5505,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:25,1552838905.56,29.5314,1.91554,72.7289,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:28,1552838908.56,29.5314,1.91554,72.8403,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:29,1552838909.56,29.5314,1.91554,72.4965,94.5544,5.39695,6.23439,72.1262,73.5576,36.3906
2019-03-17 12:08:30,1552838910.16,29.5314,1.91554,72.4965,94.5544,5.39695,6.23439,72.1262,73.6684,36.3906
