Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-27-11:02:04,35,97.7093,75.0654,20.0,19.36994
2019-03-27-11:02:05,35,97.3972,75.2064,20.0,19.36994
2019-03-27-11:02:06,35,97.3972,75.0772,20.0,19.36994
2019-03-27-11:02:07,33,97.708,75.0772,20.0,19.36994
2019-03-27-11:02:08,33,97.708,75.0772,20.0,19.36994
2019-03-27-11:02:09,33,97.3377,75.0772,20.0,19.36994
2019-03-27-11:02:10,33,97.3377,75.0772,20.0,19.36994
2019-03-27-11:02:11,33,97.7229,75.0772,20.0,19.36994
2019-03-27-11:02:12,33,97.5962,75.0772,20.0,19.36994
2019-03-27-11:02:13,33,97.7748,75.0772,20.0,19.36994
2019-03-27-11:02:14,33,97.3355,75.0772,20.0,19.36994
2019-03-27-11:02:15,33,97.4888,75.0772,20.0,19.36994
2019-03-27-11:02:16,33,97.4888,75.0772,20.0,19.36994
2019-03-27-11:02:17,33,97.4888,75.0772,20.0,19.36994
2019-03-27-11:02:18,33,97.6992,75.0772,20.0,19.36994
2019-03-27-11:02:19,33,97.3193,75.0772,20.0,19.36994
2019-03-27-11:02:20,33,97.7271,75.0772,20.0,19.36994
2019-03-27-11:02:21,33,97.4652,75.0772,20.0,19.36994
2019-03-27-11:02:22,33,97.4652,75.0772,20.0,19.36994
2019-03-27-11:02:23,33,97.4652,75.2371,20.0,19.36994
2019-03-27-11:02:24,33,97.7129,75.0834,20.0,19.36994
2019-03-27-11:02:25,33,97.3859,75.0834,20.0,19.36994
2019-03-27-11:02:26,33,97.8347,75.0834,20.0,19.36994
2019-03-27-11:02:27,24,97.5114,75.0834,20.0,19.36994
2019-03-27-11:02:28,24,97.3177,75.0834,20.0,19.36994
2019-03-27-11:02:29,24,97.3177,75.0834,20.0,19.36994
2019-03-27-11:02:30,24,97.668,75.0834,20.0,19.36994
2019-03-27-11:02:31,24,97.3797,75.0834,20.0,19.36994
2019-03-27-11:02:32,24,97.3797,75.0834,20.0,19.36994
2019-03-27-11:02:33,24,97.3797,75.0834,20.0,19.36994
2019-03-27-11:02:34,24,97.2772,75.0834,20.0,19.36994
2019-03-27-11:02:35,24,97.4937,75.0834,20.0,19.36994
2019-03-27-11:02:36,24,97.2755,74.9798,20.0,19.36994
2019-03-27-11:02:37,24,97.8837,75.1429,20.0,19.36994
2019-03-27-11:02:38,24,97.6966,75.1429,20.0,19.36994
2019-03-27-11:02:39,24,97.509,75.3317,20.0,19.36994
2019-03-27-11:02:40,24,97.6509,75.0758,20.0,19.36994
2019-03-27-11:02:41,24,97.2784,75.0758,20.0,19.36994
2019-03-27-11:02:42,24,97.914,75.2092,20.0,19.36994
2019-03-27-11:02:43,24,97.3967,75.0572,20.0,19.36994
2019-03-27-11:02:44,24,97.9055,75.1766,20.0,19.36994
2019-03-27-11:02:45,24,97.3509,75.0701,20.0,19.36994
2019-03-27-11:02:46,24,97.6691,75.0701,20.0,19.36994
2019-03-27-11:02:47,24,97.5403,75.3683,20.0,19.36994
2019-03-27-11:02:48,24,97.5403,75.2033,20.0,19.36994
2019-03-27-11:02:49,24,97.5403,75.2033,20.0,19.36994
2019-03-27-11:02:50,24,97.6551,75.0615,20.0,19.36994
2019-03-27-11:02:51,24,97.6551,75.0615,20.0,19.36994
2019-03-27-11:02:52,24,97.6551,75.2086,20.0,19.36994
2019-03-27-11:02:53,24,97.3557,75.0672,20.0,19.36994
2019-03-27-11:02:54,24,97.7696,75.2535,20.0,19.36994
2019-03-27-11:02:55,24,97.7696,75.2535,20.0,19.36994
2019-03-27-11:02:56,24,97.2907,75.0694,20.0,19.36994
2019-03-27-11:02:57,24,97.6387,75.0694,20.0,19.36994
2019-03-27-11:02:58,24,97.289,75.0694,20.0,19.36994
2019-03-27-11:02:59,24,97.8104,75.2627,20.0,19.36994
2019-03-27-11:03:00,24,97.6432,75.0437,20.0,19.36994
