time,Unix time,CPV:CM03:3001:JT:POS_RBV,CFICM0312,CHTR:CM03:1155:HV:POWER
2019-02-23 08:02:00,1550926920.05,47.9453,5,14.9379
2019-02-23 08:02:01,1550926921.05,47.9453,4.53125,14.9379
2019-02-23 08:02:02,1550926922.05,47.9453,4.21875,14.9379
2019-02-23 08:02:03,1550926923.06,47.9453,4.8125,14.9379
2019-02-23 08:02:04,1550926924.06,47.9453,4.6875,14.9379
2019-02-23 08:02:05,1550926925.06,47.9453,4.21875,14.9379
2019-02-23 08:02:06,1550926926.07,47.9453,4.625,14.9379
2019-02-23 08:02:07,1550926927.07,47.9453,4.875,14.9379
2019-02-23 08:02:08,1550926928.07,47.9453,4.28125,14.9379
2019-02-23 08:02:10,1550926930.09,47.9453,4.96875,14.9379
2019-02-23 08:02:11,1550926931.09,47.9453,4.4375,14.9379
2019-02-23 08:02:12,1550926932.09,47.9453,4.25,14.9379
2019-02-23 08:02:13,1550926933.10,47.9453,4.9375,14.9379
2019-02-23 08:02:14,1550926934.11,47.9453,4.59375,14.9379
2019-02-23 08:02:15,1550926935.11,47.9453,4.1875,14.9379
2019-02-23 08:02:16,1550926936.11,47.9453,4.78125,14.9379
2019-02-23 08:02:18,1550926938.12,47.9453,4.1875,14.9379
2019-02-23 08:02:19,1550926939.12,47.9453,4.53125,14.9379
2019-02-23 08:02:20,1550926940.12,47.9453,4.9375,14.9379
2019-02-23 08:02:21,1550926941.13,47.9453,4.28125,14.9379
2019-02-23 08:02:23,1550926943.13,47.9453,4.90625,14.9379
2019-02-23 08:02:24,1550926944.14,47.9453,4.4375,14.9379
2019-02-23 08:02:25,1550926945.14,47.9453,4.125,14.9379
2019-02-23 08:02:26,1550926946.14,47.9453,4.8125,14.9379
2019-02-23 08:02:27,1550926947.14,47.9453,4.6875,14.9379
2019-02-23 08:02:28,1550926948.15,47.9453,4.125,14.9379
2019-02-23 08:02:29,1550926949.15,47.9453,4.5625,14.9379
2019-02-23 08:02:30,1550926950.15,47.9453,4.8125,14.9379
2019-02-23 08:02:31,1550926951.15,47.9453,4.25,14.9379
2019-02-23 08:02:32,1550926952.16,47.9453,4.40625,14.9379
2019-02-23 08:02:33,1550926953.16,47.9453,4.9375,14.9379
2019-02-23 08:02:34,1550926954.16,47.9453,4.375,14.9379
2019-02-23 08:02:35,1550926955.16,47.9453,4.25,14.9379
2019-02-23 08:02:36,1550926956.17,47.9453,4.84375,14.9379
2019-02-23 08:02:37,1550926957.17,47.9453,4.375,14.9379
2019-02-23 08:02:37,1550926957.57,47.0391,4.375,14.9379
2019-02-23 08:02:38,1550926958.17,47.0391,3.96875,14.9379
2019-02-23 08:02:38,1550926958.57,47.4688,3.96875,14.9379
2019-02-23 08:02:39,1550926959.18,47.4688,4.6875,14.9379
2019-02-23 08:02:41,1550926961.19,47.4688,4.03125,14.9379
